Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
10300045,14.76897,0.03582311,-4.980441,0.001501321,-0.1959585,0.0009162899,2.891332,0.004711756,-0.02038085,-0.001960494,-0.0009549168,0.001497787
10400005,15.06359,0.03606069,-4.980761,0.001302686,-0.1959963,0.001328699,2.895554,0.005517498,-0.01592456,-0.0005487228,0.0003725912,0.002550014
10499965,15.35916,0.03644637,-4.981022,0.001048109,-0.1960289,0.001801668,2.899094,0.007452251,-0.01820016,-0.002180997,0.0006222531,0.002568376
10599925,15.65463,0.03685381,-4.981502,0.0007742793,-0.1960927,0.002261326,2.902596,0.006743056,-0.01906217,-0.002674438,-0.0009415747,0.002570073
10699885,15.95089,0.03692834,-4.981916,0.0006267847,-0.196258,0.002605052,2.907137,0.00451412,-0.01725139,-0.0002286306,-0.000487077,-0.001055747
10800678,16.2467,0.03692204,-4.982331,0.0008905864,-0.1962873,0.002415501,2.91093,0.00416356,-0.01738433,0.003001911,7.401058e-05,-0.005405401
10900638,16.54278,0.03696651,-4.982643,0.001199246,-0.1962587,0.002076017,2.914655,0.004801471,-0.01605045,0.001539594,0.0006808875,-0.004987057
11000598,16.8388,0.03691696,-4.982899,0.001425309,-0.1962784,0.001868838,2.917791,0.004711053,-0.01626484,0.00160985,-0.0006635196,-0.003379685
11100558,17.1355,0.0369203,-4.983138,0.001563469,-0.1964398,0.001872937,2.918311,0.006206723,-0.01553849,0.0004525726,-0.001221782,-0.001616722
11200518,17.43197,0.03692697,-4.983367,0.001528111,-0.1966451,0.002047429,2.920958,0.004434686,-0.01386748,-0.0002260053,-0.001441405,-0.0002428325
11300478,17.72909,0.03655102,-4.98351,0.001647071,-0.1967886,0.002184674,2.926545,0.002314444,-0.01454372,0.002889918,2.860418e-05,-0.003115923
11400438,18.02604,0.03645918,-4.983733,0.001977455,-0.1966939,0.001909402,2.928599,0.008625311,-0.01451338,0.001487029,0.002005329,-0.005142518
11500398,18.32326,0.03686576,-4.984089,0.0018237,-0.1965874,0.001997993,2.932122,0.01048545,-0.01616554,-0.003986502,0.001704578,0.001482831
11600358,18.62005,0.03711054,-4.984344,0.001360321,-0.1965306,0.002658711,2.932719,0.007107038,-0.01414844,-0.002897566,-0.000727397,0.004895435
11700318,18.91706,0.03688971,-4.984643,0.001332654,-0.1966715,0.003197071,2.93651,0.005788648,-0.01503671,0.002489059,-0.0002916731,-0.0006103449
11800278,19.21458,0.03661139,-4.984897,0.001651408,-0.1966126,0.003046695,2.941956,0.004878607,-0.01350785,0.003068193,0.002270736,-0.006195132
11900238,19.513,0.03640205,-4.985294,0.002050071,-0.1963776,0.002573219,2.945266,0.006514214,-0.01600014,0.003026078,0.002613454,-0.00753783
12000198,19.8115,0.03625273,-4.985658,0.002353003,-0.1961581,0.002252015,2.950234,0.006180719,-0.01462957,0.001450691,0.002398368,-0.004229944
12100158,20.11084,0.03608016,-4.986053,0.002483619,-0.1957961,0.00221573,2.954519,0.005744447,-0.01301942,0.001112024,0.004645519,-0.002105175
12200118,20.40965,0.03595353,-4.986279,0.002590635,-0.1954351,0.00224077,2.955106,0.006217345,-0.01285184,0.0006199944,0.00166981,-0.001674166
12300078,20.70839,0.03578359,-4.986644,0.002675624,-0.1954169,0.002350506,2.955575,0.005128767,-0.01329814,0.0008984721,-0.0004997494,-0.001360654
12400038,21.00681,0.03528988,-4.986866,0.002826863,-0.1956704,0.002400303,2.955471,0.006679737,-0.01202627,0.001761261,-0.003187164,-0.002315315
12499998,21.30558,0.03446913,-4.987328,0.002949295,-0.1959236,0.002594276,2.957194,0.007847599,-0.01380988,0.001037469,-0.001323696,-0.001874884
